label	pk	nom	artista	idioma
inst	17723	1 de Maig	Lluís Paloma, 'Patinet'
inst	17739	1 de Maig (Versió Ionic South)	Lluís Paloma, 'Patinet'
inst	17703	450 Mulberry Street, Memphis, Tennessee (Dr. Martin Luther King, Jr.) (2025 Mix)	Lluís Paloma, 'Patinet'
inst	10338	A Flash In The Pan - Second Version	Lluís Paloma, 'Patinet'
inst	17751	All You Need Is Glub	Lluís Paloma, 'Patinet'
inst	17769	A Merry Free For All	Lluís Paloma, 'Patinet'
inst	17706	Antarctic Day (2025 Mix)	Lluís Paloma, 'Patinet'
inst	9811	A Phoney Situation - Second Version	Lluís Paloma, 'Patinet'
inst	17725	Arribant a l'Illa	Lluís Paloma, 'Patinet'
inst	17787	Astrosurfing	Lluís Paloma, 'Patinet'
vocal	19801	Va Com Va	Remei de Ca la Fresca	ca
vocal	20623	Murs d'Altaveus	Sobre Mi Gata	ca
vocal	13111	Sense Tu, No És el Mar	Clara Bonfill	ca
vocal	23438	Sota una Estrella (En Directe al Palau Sant Jordi, Novembre 2022)	Sopa de Cabra	ca
vocal	23574	Ja Tens l'Amor	Jofre Bardagí	ca
vocal	9965	He Pecat	Borrissol	ca
vocal	16754	Batre de Pepe Moreno (Feat. Pepe Moreno)	Jonatan Penalba	ca
vocal	16791	Yoga els Dimecres	Jordi Maranges	ca
vocal	22028	Tota la Nit (Demo)	Wildside	ca
vocal	17441	Pels Rius de la Vida	Laia dels Vents	ca
vocal	7925	In The Rain	Martina Burón	en
vocal	4712	Inici de Campana - 2025	Maria del Mar Bonet	ca
inst	721	Visions Tàctils	Marc Parrot
vocal	8652	Déjà Vu	Els Amics De Les Arts	ca
vocal	8564	Tant de Bo	Sr. Corella	ca
vocal	8736	Propietats de la Pena | la Muixeranga | les Arts Canten Estellés - en Directe	Andreu Valor	ca
vocal	13759	Àngel de la Guarda	David Torné	ca
vocal	13472	La Croada dels Nens (En Directe al Liceu 2003)	Companyia Elèctrica Dharma	ca
vocal	15817	Quan els Mussols i els Gats Siguin Desperts	Germans Tanner	ca
vocal	16748	Tarquim	Jonatan Penalba	ca
vocal	8011	Tape - Remix	Adrien Broadway	ca
vocal	9887	Les Dotze Van Tocant	La Guardiola Groga	ca
vocal	9015	Gal-àlicismes	SX3	ca
vocal	d555188232	MALAMENTE	ROSALÍA	es
vocal	d686020062	Callaita	Bad Bunny	es
vocal	d1112702042	Tú Me Dejaste De Querer	C. Tangana	es
vocal	d110952726	Uno X Uno	Manuel Carrasco	es
vocal	d399041702	La Puerta Violeta	Rozalén	es
vocal	d139470659	Shape of You	Ed Sheeran	en
vocal	d655095912	bad guy	Billie Eilish	en
vocal	d1976903157	Anti-Hero	Taylor Swift	en
vocal	d908604612	Blinding Lights	The Weeknd	en
vocal	d138545995	Hello	Adele	en
vocal	d69879254	Formidable	Stromae	fr
vocal	d546875572	Balance ton quoi	Angèle	fr
vocal	d1262536082	ZITTI E BUONI	Måneskin	it
vocal	d4104011	La solitudine	Laura Pausini	it
vocal	d12335477	Sozinho (Live)	Caetano Veloso	pt
